report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,value_unit,observation_year,comparison_year,comparison_lag_years,value_numeric,value_ratio,value_reported,calculated_value_numeric,calculation_status,quality_flag,null_reason,extraction_version,validation_status
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,count,2026,,,1,,1,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,count,2025,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,last_28_days,percent_change,percent,2026,2025,1,,,*,,undefined_zero_denominator,,undefined_zero_denominator,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,count,2026,,,4,,4,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,count,2025,,,1,,1,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2025,1,300.0,3.0,300%,300.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2024,2,100.0,1.0,100%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2023,3,33.0,0.33,33%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2022,4,-56.0,-0.56,-56%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-09-13-r1,weekly_compstat,2026-09-07,2026-09-13,1,bdd3ce5111e4768992b9a845d10b8e11e85af60f8434823f0862dba7fe1f282b,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2021,5,0.0,0.0,0%,,not_checkable,,,wilmington-compstat-v2,validated
